SHIPMENT_XID,START_TIME,TOTAL_SHIP_UNIT_COUNT,TOTAL_WEIGHT,TOTAL_VOLUME,FIRST_EQUIPMENT_GROUP_GID,PRINCIPAL,DestName,Region,City,DestZone1,DestZone2,Segment
00363197,2019-03-28 00:00:00,760,11223.5331,27.84,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00363393,2019-03-26 07:00:00,980,12628.2968,20.4,LFL/TMS/MYS.20T_BOX,UNILEVER,TEONG MOH TRADING SDN BHD,JOHOR,SKUDAI,JST-003,SOUTH,DT-OUTSTATION
00363384,2019-03-26 07:00:00,869,7658.39998,14.91497,LFL/TMS/MYS.20T_BOX,UNILEVER,KENG HUAT (YEAP) SDN BHD,PENANG,BAYAN LEPAS,PNG-002,NORTH,DT-OUTSTATION
00362221,2019-03-21 07:00:00,1012,9608.182636,22.856787,LFL/TMS/MYS.20T_BOX,UNILEVER,TEAK ANN TRADING SDN BHD,PERAK,IPOH,PRK-003,NORTH,DT-OUTSTATION
00362887,2019-03-27 00:00:00,930,9925.112796,27.152214,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00362886,2019-03-27 00:00:00,720,12112.0,22.319999999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00362890,2019-03-27 00:00:00,582,7981.859335,21.655066,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00362891,2019-03-27 07:00:00,1477,11941.341834,25.782829000000003,LFL/TMS/MYS.20T_BOX,UNILEVER,YOONG SHING TRADING (M) SDN BHD,JOHOR,MASAI,JST-004,SOUTH,DT-OUTSTATION
00362955,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362957,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362956,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363004,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363204,2019-03-28 07:00:00,1343,12359.170876999999,31.104567,LFL/TMS/MYS.20T_BOX,UNILEVER,SIN GUAN HENG PROVISIONS SDN. BHD,PERAK,PARIT BUNTAR,PNG-008,NORTH,DT-OUTSTATION
00363208,2019-03-28 07:00:00,898,12846.248014999997,26.205000000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,SUNBREEZE (SG PETANI),KEDAH,SUNGAI PETANI,KDH-004,NORTH,DT-OUTSTATION
00363216,2019-03-28 07:00:00,757,5010.96944,16.506932,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00363199,2019-03-28 00:00:00,1306,10562.554484999999,27.144188999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00363196,2019-03-28 00:00:00,1290,11299.83993,31.169058,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362198,2019-03-21 00:00:00,1585,11635.565007000001,36.17055899999999,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362199,2019-03-21 00:00:00,911,7391.750263,18.367561,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363200,2019-03-28 00:00:00,642,8492.240402,22.61396,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00363201,2019-03-28 00:00:00,743,5616.216781,13.587809999999998,LFL/TMS/MYS.20T_BOX,UNILEVER,LIM SOON HUAT AGENCY SDN BHD,KUALA LUMPUR,KUALA LUMPUR,KLV-006,CENTRAL,DT-LOCAL
00363213,2019-03-28 07:00:00,642,10034.410498000001,15.471994,LFL/TMS/MYS.20T_BOX,UNILEVER,SIANG SELATAN SDN BHD,JOHOR,BATU PAHAT,JNT-003,SOUTH,DT-OUTSTATION
00363218,2019-03-28 07:00:00,1681,12325.585105,34.750964,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00363372,2019-03-28 02:13:21,30,7500.0,9.69,LFL/TMS/MYS.20T_BOX,UNILEVER,JULIE'S MANUFACTURING SDN BHD,MELAKA,MELAKA,MLK-001,SOUTH,DT-OUTSTATION
00363731,2019-03-29 00:50:27,60,15000.0,19.38,LFL/TMS/MYS.20T_BOX,UNILEVER,JULIE'S MANUFACTURING SDN BHD,MELAKA,MELAKA,MLK-001,SOUTH,DT-OUTSTATION
00362197,2019-03-21 00:00:00,1995,15670.708159999998,38.376286,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362940,2019-03-25 00:00:00,1527,14691.457752000002,38.093799,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363209,2019-03-28 07:00:00,1312,9896.057965,27.600350999999996,LFL/TMS/MYS.20T_BOX,UNILEVER,SUNBREEZE (SG PETANI),KEDAH,SUNGAI PETANI,KDH-004,NORTH,DT-OUTSTATION
00363207,2019-03-28 07:00:00,1614,7990.729112000001,30.044867999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,SUNBREEZE (SG PETANI),KEDAH,SUNGAI PETANI,KDH-004,NORTH,DT-OUTSTATION
00363210,2019-03-28 07:00:00,599,6698.057575,16.363877000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,PANGCO JAYA SDN BHD,PERLIS,KANGAR,PLS-001,NORTH,DT-OUTSTATION
00363212,2019-03-28 07:00:00,1070,8503.040515,23.836828,LFL/TMS/MYS.20T_BOX,UNILEVER,SIANG SELATAN SDN BHD,JOHOR,BATU PAHAT,JNT-003,SOUTH,DT-OUTSTATION
00363217,2019-03-28 07:00:00,816,14018.88,20.639999999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00362927,2019-03-22 23:00:00,1375,10976.357547000001,33.284638,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
